customer_id,country,segment,signup_date,contract_type,monthly_fee
CUST_000033,Germany,SMB,2021-02-14,Annual,323.24
CUST_000034,Germany,Consumer,2022-03-26,Monthly,382.94
CUST_000035,Germany,Enterprise,2023-04-20,Annual,454.49
CUST_000036,Spain,Enterprise,2021-04-01,Monthly,128.61
CUST_000037,Spain,Enterprise,2024-03-03,Monthly,194.76
CUST_000038,Germany,SMB,2023-09-05,Monthly,400.34
CUST_000039,Spain,Consumer,2023-10-30,Monthly,144.51
CUST_000040,France,Consumer,2023-07-27,Monthly,262.9
CUST_000041,Germany,Consumer,2024-06-16,Two-Year,232.86
CUST_000042,Italy,Consumer,2024-04-08,Monthly,305.75
CUST_000043,France,SMB,2024-04-20,Two-Year,494.34
CUST_000044,Germany,SMB,2022-01-24,Monthly,69.78
CUST_000045,Italy,Consumer,2024-06-08,Monthly,252.63
CUST_000046,Italy,Consumer,2021-11-25,Annual,480.31
CUST_000047,Germany,SMB,2021-02-09,Annual,186.98
CUST_000048,Spain,Consumer,2025-11-21,Monthly,375.49
CUST_000049,France,Enterprise,2021-11-23,Monthly,466.05
CUST_000050,Spain,SMB,2021-07-27,Annual,135.49
CUST_000051,Spain,Consumer,2022-07-08,Monthly,59.06
CUST_000052,Spain,Consumer,2025-12-30,Annual,56.33
CUST_000053,Italy,SMB,2025-04-28,Annual,55.04
CUST_000054,France,Consumer,2024-08-07,Monthly,188.25
CUST_000055,France,SMB,2021-12-10,Annual,80.58
CUST_000056,Italy,Consumer,2024-02-24,Monthly,214.41
CUST_000057,Germany,Consumer,2025-03-01,Two-Year,381.98
CUST_000058,France,Consumer,2022-09-13,Two-Year,163.15
CUST_000059,Spain,SMB,2022-04-19,Annual,250.12
CUST_000060,Spain,Enterprise,2025-05-04,Two-Year,81.14
CUST_000061,France,Enterprise,2021-08-29,Annual,355.18
CUST_000062,Germany,Consumer,2025-07-20,Monthly,172.48
CUST_000063,France,SMB,2023-05-25,Monthly,84.91
CUST_000064,Italy,Consumer,2024-08-11,Monthly,478.24
CUST_000065,France,Consumer,2022-11-11,Monthly,389.42
CUST_000066,France,Enterprise,2024-07-20,Annual,333.12
CUST_000067,France,Consumer,2025-08-16,Monthly,367.04
CUST_000068,Germany,Enterprise,2023-06-20,Annual,224.24
CUST_000069,Spain,Consumer,2022-01-23,Monthly,163.2
CUST_000070,Germany,Consumer,2021-05-23,Monthly,259.99
CUST_000071,Spain,Consumer,2025-08-18,Monthly,416.12
CUST_000072,Germany,Enterprise,2025-12-30,Two-Year,482.62
CUST_000073,Italy,Consumer,2024-04-03,Monthly,310.54
CUST_000074,Spain,SMB,2021-01-29,Monthly,200.65
CUST_000075,Spain,Consumer,2025-06-04,Monthly,364.74
CUST_000076,Spain,SMB,2023-06-24,Two-Year,354.59
CUST_000077,Spain,Consumer,2022-03-03,Monthly,138.78
CUST_000078,France,Consumer,2022-11-02,Annual,229.05
CUST_000079,France,SMB,2025-09-16,Monthly,84.33
CUST_000080,Italy,SMB,2024-11-18,Monthly,213.09
CUST_000081,France,Consumer,2023-12-27,Annual,386.12
CUST_000082,Germany,Consumer,2024-09-05,Annual,170.67
CUST_000083,Italy,Consumer,2025-03-28,Annual,323.86
CUST_000084,Spain,Enterprise,2024-02-21,Monthly,177.27
CUST_000085,Spain,SMB,2022-07-27,Two-Year,90.61
CUST_000086,Spain,SMB,2021-05-17,Annual,375.87
CUST_000087,France,SMB,2021-08-13,Two-Year,302.87
CUST_000088,Germany,SMB,2022-03-09,Monthly,416.22
CUST_000089,Spain,Consumer,2024-11-04,Monthly,345.9
CUST_000090,Germany,Consumer,2021-06-21,Monthly,412.25
CUST_000091,Spain,SMB,2021-08-21,Annual,94.38
CUST_000092,France,Consumer,2025-11-23,Annual,315.0
CUST_000093,Germany,Consumer,2023-01-02,Monthly,196.34
CUST_000094,Germany,SMB,2021-08-22,Monthly,378.32
CUST_000095,Germany,Enterprise,2025-05-13,Monthly,298.44
CUST_000096,France,SMB,2025-11-02,Monthly,46.01
CUST_000097,Germany,Consumer,2023-07-10,Annual,276.1
CUST_000098,Spain,Enterprise,2021-07-25,Monthly,377.26
CUST_000099,Spain,Consumer,2024-02-20,Monthly,146.14
CUST_000100,Netherlands,Consumer,2025-04-24,Monthly,334.17
CUST_000101,Netherlands,Enterprise,2025-10-29,Monthly,423.64
CUST_000102,France,SMB,2023-11-16,Two-Year,51.28
CUST_000103,Spain,Enterprise,2025-09-21,Monthly,297.45
CUST_000104,Netherlands,SMB,2025-02-27,Two-Year,446.05
CUST_000105,Italy,SMB,2021-10-22,Annual,80.68
CUST_000106,France,Consumer,2024-03-03,Annual,149.24
CUST_000107,Germany,Consumer,2024-04-30,Monthly,320.44
CUST_000108,Spain,Enterprise,2024-11-04,Annual,300.89
CUST_000109,Spain,Enterprise,2023-08-29,Annual,400.83
CUST_000110,Netherlands,Consumer,2024-08-27,Monthly,321.95
CUST_000111,Germany,Consumer,2023-12-03,Two-Year,296.41
CUST_000112,Spain,Consumer,2022-04-21,Monthly,236.89
CUST_000113,Germany,Consumer,2023-06-03,Monthly,57.56
CUST_000114,France,Enterprise,2025-09-04,Monthly,303.72
CUST_000115,Spain,Consumer,2025-03-19,Annual,95.18
CUST_000116,Italy,Consumer,2024-03-21,Monthly,498.01
CUST_000117,Italy,Enterprise,2022-08-11,Monthly,57.68
CUST_000118,France,Consumer,2022-01-05,Monthly,56.34
CUST_000119,Germany,Consumer,2022-06-06,Monthly,397.92
CUST_000120,France,Consumer,2022-07-13,Monthly,68.56
CUST_000121,France,Consumer,2025-10-22,Two-Year,214.44
CUST_000122,France,Consumer,2023-09-01,Monthly,465.2
CUST_000123,Spain,Consumer,2022-12-15,Two-Year,398.18
CUST_000124,Germany,Consumer,2025-05-30,Annual,131.76
CUST_000125,Spain,Consumer,2022-11-05,Annual,140.49
CUST_000126,Germany,Consumer,2024-12-25,Two-Year,304.29
CUST_000127,Germany,Consumer,2024-03-17,Monthly,253.49
CUST_000128,Spain,Enterprise,2022-07-06,Annual,76.04
CUST_000129,Spain,Consumer,2025-10-21,Monthly,96.15
CUST_000130,France,Consumer,2024-06-11,Monthly,405.39
CUST_000131,Spain,Enterprise,2025-12-13,Monthly,185.5
CUST_000132,Netherlands,Consumer,2021-01-04,Annual,403.53
CUST_000133,France,Consumer,2022-05-28,Annual,111.12
CUST_000134,Germany,SMB,2022-08-31,Monthly,307.73
CUST_000135,France,Consumer,2024-05-16,Annual,262.45
CUST_000136,Spain,Consumer,2025-03-14,Monthly,176.67
CUST_000137,Netherlands,SMB,2021-08-10,Monthly,312.12
CUST_000138,Germany,SMB,2021-10-04,Monthly,79.78
CUST_000139,Italy,Consumer,2024-05-17,Annual,431.1
CUST_000140,Spain,Consumer,2022-10-08,Monthly,376.82
CUST_000141,Germany,Consumer,2024-06-29,Monthly,157.75
CUST_000142,Germany,SMB,2021-01-02,Monthly,298.47
CUST_000143,Netherlands,Consumer,2023-08-14,Annual,453.04
CUST_000144,France,Consumer,2021-02-12,Annual,222.71
CUST_000145,Germany,Consumer,2025-10-04,Monthly,194.4
CUST_000146,Spain,Enterprise,2021-09-24,Annual,403.49
CUST_000147,Germany,Consumer,2021-11-21,Annual,20.57
CUST_000148,Germany,Consumer,2021-07-06,Monthly,349.46
CUST_000149,Germany,Consumer,2022-02-07,Monthly,123.59
CUST_000150,Spain,SMB,2023-06-14,Two-Year,353.24
CUST_000151,Italy,Consumer,2024-02-02,Monthly,230.19
CUST_000152,Italy,Enterprise,2025-07-02,Monthly,29.74
CUST_000153,Spain,Consumer,2025-05-22,Two-Year,439.64
CUST_000154,France,Consumer,2021-06-04,Annual,282.34
CUST_000155,Spain,Consumer,2023-02-20,Annual,170.53
CUST_000156,France,Consumer,2025-05-08,Annual,357.62
CUST_000157,Spain,Consumer,2021-10-30,Monthly,258.05
CUST_000158,France,SMB,2024-05-05,Annual,36.78
CUST_000159,France,Consumer,2023-02-19,Monthly,332.12
CUST_000160,Italy,SMB,2021-11-05,Two-Year,485.38
CUST_000161,Spain,Consumer,2021-04-23,Monthly,126.55
CUST_000162,Netherlands,Consumer,2022-06-14,Monthly,434.2
CUST_000163,Spain,Consumer,2021-01-02,Monthly,318.08
CUST_000164,Spain,Consumer,2021-12-21,Annual,57.39
CUST_000165,France,Consumer,2023-09-29,Annual,370.39
CUST_000166,Germany,Enterprise,2024-12-12,Annual,231.92
CUST_000167,Italy,Enterprise,2023-07-12,Monthly,400.99
CUST_000168,Italy,SMB,2024-08-17,Monthly,325.16
CUST_000169,Germany,Enterprise,2021-05-16,Annual,21.34
CUST_000170,Netherlands,Consumer,2022-07-10,Monthly,80.62
CUST_000171,Spain,Consumer,2024-04-17,Annual,189.17
CUST_000172,Germany,Consumer,2021-04-10,Two-Year,251.29
CUST_000173,Spain,Enterprise,2023-12-03,Annual,467.42
CUST_000174,Netherlands,Consumer,2021-11-05,Monthly,414.55
CUST_000175,Spain,Consumer,2023-02-05,Annual,404.78
CUST_000176,Spain,SMB,2024-02-25,Two-Year,279.0
CUST_000177,Germany,Consumer,2025-12-07,Annual,64.57
CUST_000178,Netherlands,SMB,2021-06-15,Annual,377.99
CUST_000179,Italy,Consumer,2023-10-03,Monthly,61.54
CUST_000180,France,SMB,2023-09-07,Annual,63.89
CUST_000181,Italy,Enterprise,2021-04-27,Monthly,142.44
CUST_000182,Italy,SMB,2024-01-25,Annual,462.83
CUST_000183,Germany,Consumer,2021-05-18,Two-Year,379.96
CUST_000184,Germany,Consumer,2024-06-09,Two-Year,56.79
CUST_000185,Italy,Consumer,2022-01-15,Monthly,461.08
CUST_000186,France,Consumer,2021-08-17,Annual,396.02
CUST_000187,Germany,Consumer,2021-05-11,Monthly,309.75
CUST_000188,Spain,Consumer,2023-04-20,Monthly,80.94
CUST_000189,France,Consumer,2022-03-08,Annual,173.66
CUST_000190,Spain,Consumer,2023-04-27,Monthly,164.33
CUST_000191,Netherlands,Enterprise,2025-06-24,Monthly,327.22
CUST_000192,Spain,Consumer,2025-03-06,Annual,302.18
CUST_000193,Spain,Consumer,2024-10-02,Annual,153.08
CUST_000194,Italy,Consumer,2023-05-06,Annual,169.33
CUST_000195,Spain,Consumer,2021-07-24,Annual,268.85
CUST_000196,Spain,Enterprise,2023-01-13,Annual,425.8
CUST_000197,France,Consumer,2021-02-09,Monthly,80.59
CUST_000198,Italy,SMB,2021-08-14,Monthly,368.35
CUST_000199,Spain,SMB,2022-07-05,Annual,497.92
CUST_000200,Germany,SMB,2024-06-22,Annual,379.87
CUST_000201,Italy,SMB,2024-12-10,Monthly,231.95
CUST_000202,Netherlands,SMB,2024-02-06,Monthly,371.2
CUST_000203,Germany,Consumer,2022-04-16,Two-Year,433.13
CUST_000204,Spain,Consumer,2024-08-02,Two-Year,388.88
CUST_000205,Spain,SMB,2025-12-25,Annual,26.12
CUST_000206,Spain,Consumer,2024-04-13,Annual,83.12
CUST_000207,Spain,Consumer,2024-10-22,Two-Year,71.43
CUST_000208,France,Consumer,2025-05-18,Annual,35.28
CUST_000209,Spain,Consumer,2024-07-30,Monthly,362.97
CUST_000210,Germany,Consumer,2025-05-22,Annual,148.34
CUST_000211,France,Consumer,2022-06-25,Two-Year,366.54
CUST_000212,France,Consumer,2022-07-16,Annual,339.73
CUST_000213,Spain,Consumer,2021-11-15,Monthly,271.33
CUST_000214,Italy,Consumer,2021-11-30,Two-Year,48.66
CUST_000215,France,SMB,2023-10-07,Annual,166.55
CUST_000216,France,Consumer,2025-08-19,Monthly,33.02
CUST_000217,Spain,SMB,2022-02-09,Two-Year,456.81
CUST_000218,Spain,Consumer,2024-07-26,Annual,168.14
CUST_000219,Netherlands,Consumer,2021-05-23,Annual,65.58
CUST_000220,Germany,SMB,2025-11-09,Two-Year,21.21
CUST_000221,Germany,SMB,2023-08-19,Monthly,313.53
CUST_000222,Germany,SMB,2023-06-27,Annual,318.07
CUST_000223,France,SMB,2022-10-20,Monthly,497.56
CUST_000224,Netherlands,SMB,2025-10-24,Two-Year,158.53
CUST_000225,Spain,SMB,2023-02-06,Two-Year,42.33
CUST_000226,Netherlands,SMB,2021-08-13,Annual,394.1
CUST_000227,Spain,SMB,2023-10-27,Annual,166.2
CUST_000228,France,Consumer,2023-12-15,Annual,178.72
CUST_000229,France,Consumer,2024-09-24,Monthly,455.71
CUST_000230,Spain,Consumer,2023-06-27,Monthly,296.18
CUST_000231,Spain,Consumer,2022-05-27,Monthly,212.17
CUST_000232,Germany,SMB,2021-01-05,Annual,476.27
CUST_000233,Netherlands,Consumer,2025-12-07,Annual,147.34
CUST_000234,France,Consumer,2021-12-19,Annual,30.31
CUST_000235,Netherlands,SMB,2022-10-03,Monthly,130.82
CUST_000236,Italy,Consumer,2021-10-08,Annual,41.18
CUST_000237,Germany,SMB,2022-03-06,Monthly,215.72
CUST_000238,Italy,Consumer,2021-04-22,Two-Year,418.91
CUST_000239,Spain,Consumer,2022-09-14,Two-Year,488.09
CUST_000240,Spain,Consumer,2025-09-28,Annual,356.15
CUST_000241,Italy,Consumer,2022-02-13,Annual,464.54
CUST_000242,Italy,Consumer,2025-10-29,Monthly,216.1
CUST_000243,Spain,Consumer,2024-03-03,Monthly,165.3
CUST_000244,Germany,Consumer,2025-06-17,Annual,94.03
CUST_000245,France,Consumer,2024-02-07,Annual,260.42
CUST_000246,Italy,SMB,2025-12-11,Monthly,176.93
CUST_000247,France,Consumer,2023-10-05,Monthly,71.62
CUST_000248,Germany,Consumer,2025-02-25,Annual,467.32
CUST_000249,Germany,Consumer,2021-03-09,Monthly,79.38
CUST_000250,Germany,Enterprise,2025-08-30,Monthly,375.07
CUST_000251,France,SMB,2021-02-03,Monthly,52.68
CUST_000252,Italy,Enterprise,2021-12-27,Two-Year,273.02
CUST_000253,Germany,Enterprise,2024-09-10,Monthly,343.91
CUST_000254,Spain,Consumer,2022-04-15,Monthly,132.58
CUST_000255,Spain,SMB,2021-03-18,Monthly,56.31
CUST_000256,France,Consumer,2025-04-24,Monthly,304.82
CUST_000257,Italy,Enterprise,2023-07-26,Annual,309.4
CUST_000258,Spain,Consumer,2023-05-26,Monthly,169.75
CUST_000259,Spain,Consumer,2022-08-01,Monthly,200.57
CUST_000260,France,Enterprise,2024-08-02,Two-Year,41.89
CUST_000261,Spain,SMB,2022-07-29,Annual,161.98
CUST_000262,Italy,Enterprise,2023-10-24,Monthly,443.65
CUST_000263,Germany,Consumer,2021-08-27,Monthly,102.22
CUST_000264,Spain,Consumer,2022-07-13,Annual,244.66
CUST_000265,Netherlands,Consumer,2021-02-21,Annual,344.88
CUST_000266,Spain,Consumer,2022-06-05,Two-Year,405.38
CUST_000267,Spain,Consumer,2022-11-27,Monthly,58.95
CUST_000268,Spain,Consumer,2024-09-28,Annual,304.08
CUST_000269,Spain,SMB,2025-02-10,Monthly,321.1
CUST_000270,Spain,Consumer,2023-08-30,Monthly,114.74
CUST_000271,Spain,SMB,2025-08-18,Annual,34.81
CUST_000272,Spain,Enterprise,2022-10-19,Annual,425.3
CUST_000273,Spain,SMB,2023-06-22,Monthly,231.23
CUST_000274,France,Consumer,2024-02-01,Monthly,49.17
CUST_000275,France,Consumer,2021-11-20,Annual,297.45
CUST_000276,Germany,Consumer,2023-02-06,Monthly,200.92
CUST_000277,Germany,SMB,2025-07-02,Monthly,58.5
CUST_000278,Germany,Consumer,2023-05-18,Monthly,157.81
CUST_000279,Italy,Consumer,2025-08-28,Monthly,176.88
CUST_000280,Italy,Enterprise,2024-05-22,Annual,295.95
CUST_000281,Spain,SMB,2021-11-07,Monthly,213.6
CUST_000282,Spain,SMB,2023-04-17,Annual,71.36
CUST_000283,Spain,Consumer,2022-10-31,Annual,324.96
CUST_000284,Spain,Enterprise,2025-10-01,Monthly,369.82
CUST_000285,France,Consumer,2022-09-06,Annual,263.51
CUST_000286,Germany,Consumer,2023-06-05,Monthly,50.41
CUST_000287,Spain,Enterprise,2024-06-14,Annual,69.55
CUST_000288,Germany,Enterprise,2025-10-23,Annual,473.43
CUST_000289,Germany,Consumer,2023-09-25,Annual,110.9
CUST_000290,Spain,Consumer,2025-03-28,Monthly,167.6
CUST_000291,Italy,Consumer,2021-08-02,Annual,350.01
CUST_000292,Spain,SMB,2025-06-15,Annual,400.08
CUST_000293,Netherlands,SMB,2022-01-14,Monthly,457.29
CUST_000294,Spain,Consumer,2024-10-25,Monthly,209.69
CUST_000295,Italy,Consumer,2023-09-03,Monthly,496.3
CUST_000296,Netherlands,SMB,2024-01-09,Monthly,69.87
CUST_000297,Netherlands,SMB,2021-06-19,Monthly,416.74
CUST_000298,Italy,Consumer,2023-08-31,Two-Year,150.61
CUST_000299,Italy,Consumer,2021-06-07,Two-Year,469.8
CUST_000300,France,Enterprise,2023-10-05,Monthly,437.21
CUST_000301,Italy,Consumer,2023-01-13,Two-Year,385.89
CUST_000302,Spain,Consumer,2022-01-03,Annual,309.8
CUST_000303,Germany,SMB,2023-06-16,Monthly,122.94
CUST_000304,Germany,Consumer,2022-01-27,Two-Year,241.72
CUST_000305,Italy,Enterprise,2021-06-01,Annual,36.7
CUST_000306,Germany,SMB,2021-03-04,Annual,360.51
CUST_000307,Germany,Consumer,2022-09-16,Monthly,75.62
CUST_000308,France,Consumer,2024-09-23,Monthly,143.98
CUST_000309,Spain,SMB,2023-11-19,Two-Year,137.62
CUST_000310,Spain,Consumer,2021-08-17,Monthly,398.22
CUST_000311,Germany,Consumer,2023-03-22,Monthly,212.31
CUST_000312,Germany,Consumer,2023-11-30,Monthly,276.58
CUST_000313,Spain,Consumer,2022-03-04,Monthly,120.14
CUST_000314,Germany,Enterprise,2021-09-09,Monthly,180.37
CUST_000315,Germany,SMB,2022-03-31,Two-Year,265.71
CUST_000316,Germany,SMB,2021-05-02,Monthly,113.22
CUST_000317,Germany,Consumer,2022-03-19,Two-Year,351.11
CUST_000318,France,Consumer,2023-09-02,Annual,235.65
CUST_000319,Spain,Enterprise,2025-01-03,Annual,492.15
CUST_000320,Netherlands,Consumer,2025-05-14,Monthly,138.33
CUST_000321,Netherlands,SMB,2024-05-13,Monthly,210.11
CUST_000322,Germany,Consumer,2022-10-13,Two-Year,463.84
CUST_000323,Germany,Consumer,2025-09-02,Annual,445.28
CUST_000324,Germany,Consumer,2025-08-06,Monthly,252.4
CUST_000325,Italy,Consumer,2022-10-16,Two-Year,79.32
CUST_000326,France,Consumer,2021-01-19,Annual,216.22
CUST_000327,Italy,Consumer,2023-03-04,Monthly,301.92
CUST_000328,Germany,Consumer,2023-05-01,Annual,142.03
CUST_000329,France,Consumer,2024-05-21,Annual,111.74
CUST_000330,Spain,Enterprise,2021-09-25,Annual,275.09
CUST_000331,France,Consumer,2023-09-22,Monthly,104.49
CUST_000332,Spain,SMB,2022-07-31,Monthly,439.78
CUST_000333,France,Consumer,2023-06-24,Monthly,55.64
CUST_000334,Italy,Consumer,2021-02-13,Monthly,493.95
CUST_000335,Spain,Consumer,2023-08-23,Monthly,278.21
CUST_000336,France,Enterprise,2021-03-06,Annual,492.11
CUST_000337,Spain,SMB,2025-04-07,Annual,380.73
CUST_000338,France,Enterprise,2024-07-25,Monthly,93.39
CUST_000339,Spain,Consumer,2025-08-09,Annual,129.17
CUST_000340,Netherlands,SMB,2024-04-10,Monthly,71.33
CUST_000341,Spain,SMB,2025-11-23,Monthly,369.96
CUST_000342,Netherlands,Enterprise,2022-01-16,Annual,100.96
CUST_000343,Italy,Consumer,2021-01-11,Two-Year,363.0
CUST_000344,France,Enterprise,2025-07-04,Monthly,432.56
CUST_000345,Italy,Consumer,2024-04-19,Two-Year,217.62
CUST_000346,Italy,SMB,2024-06-10,Two-Year,337.3
CUST_000347,Netherlands,Consumer,2022-06-14,Annual,449.69
CUST_000348,Spain,Consumer,2022-09-06,Two-Year,381.5
CUST_000349,France,Consumer,2024-05-24,Monthly,82.77
CUST_000350,Spain,SMB,2023-01-15,Monthly,160.41
CUST_000351,France,Consumer,2021-05-19,Annual,277.11
CUST_000352,Spain,Consumer,2022-06-19,Monthly,146.85
CUST_000353,France,Consumer,2022-12-03,Monthly,262.84
CUST_000354,France,SMB,2025-02-25,Monthly,477.36
CUST_000355,Germany,Consumer,2022-09-21,Monthly,237.52
CUST_000356,Germany,SMB,2023-06-21,Monthly,145.6
CUST_000357,Italy,Consumer,2023-12-28,Monthly,90.36
CUST_000358,Italy,SMB,2021-09-05,Two-Year,452.53
CUST_000359,Germany,SMB,2023-11-29,Monthly,130.3
CUST_000360,France,SMB,2022-01-04,Annual,112.94
CUST_000361,Netherlands,SMB,2025-05-23,Monthly,284.55
CUST_000362,Spain,Consumer,2022-06-26,Monthly,241.62
CUST_000363,Spain,Consumer,2022-07-10,Two-Year,205.12
CUST_000364,Spain,SMB,2023-01-07,Monthly,297.75
CUST_000365,France,Consumer,2022-10-21,Monthly,293.31
CUST_000366,Germany,Consumer,2023-12-19,Annual,52.83
CUST_000367,Italy,SMB,2024-08-13,Monthly,219.16
CUST_000368,France,Consumer,2025-10-27,Monthly,366.07
CUST_000369,Germany,Consumer,2025-06-10,Two-Year,203.21
CUST_000370,Italy,Enterprise,2022-04-24,Monthly,498.88
CUST_000371,Italy,Consumer,2024-01-08,Annual,132.98
CUST_000372,Spain,Consumer,2022-08-23,Monthly,258.25
CUST_000373,Germany,Consumer,2025-01-10,Monthly,343.49
CUST_000374,Germany,Consumer,2021-02-13,Monthly,282.97
CUST_000375,Spain,SMB,2025-12-22,Annual,38.76
CUST_000376,Spain,SMB,2022-11-12,Monthly,266.56
CUST_000377,Netherlands,Consumer,2024-09-21,Two-Year,483.89
CUST_000378,Germany,Consumer,2024-05-17,Annual,215.2
CUST_000379,Germany,Consumer,2022-11-02,Annual,75.77
CUST_000380,France,Consumer,2025-10-25,Monthly,30.2
CUST_000381,France,SMB,2022-05-03,Annual,217.89
CUST_000382,Netherlands,SMB,2024-09-13,Annual,108.94
CUST_000383,Italy,Consumer,2025-08-23,Monthly,420.66
CUST_000384,Germany,SMB,2021-08-04,Two-Year,477.08
CUST_000385,Germany,SMB,2025-08-02,Monthly,471.45
CUST_000386,Netherlands,Consumer,2025-06-14,Two-Year,199.77
CUST_000387,France,SMB,2022-11-25,Two-Year,238.28
CUST_000388,Netherlands,SMB,2025-03-12,Monthly,171.24
CUST_000389,Spain,Consumer,2021-01-12,Monthly,81.95
CUST_000390,Italy,Consumer,2021-12-12,Annual,288.34
CUST_000391,France,SMB,2024-10-05,Annual,109.38
CUST_000392,Spain,Enterprise,2025-09-03,Annual,48.52
CUST_000393,France,Consumer,2021-08-19,Monthly,427.73
CUST_000394,France,Consumer,2024-07-27,Annual,403.29
CUST_000395,Spain,SMB,2021-07-07,Two-Year,464.62
CUST_000396,Germany,Consumer,2024-11-30,Two-Year,177.15
CUST_000397,Italy,Consumer,2025-06-25,Monthly,437.95
CUST_000398,Spain,Consumer,2023-04-19,Two-Year,211.26
CUST_000399,Germany,Enterprise,2021-07-03,Monthly,54.93
CUST_000400,Germany,SMB,2022-01-02,Annual,239.76
CUST_000401,Germany,Enterprise,2023-07-15,Monthly,285.82
CUST_000402,Netherlands,Consumer,2024-12-30,Annual,227.4
CUST_000403,Italy,Consumer,2023-08-07,Monthly,397.01
CUST_000404,Spain,Consumer,2023-05-22,Monthly,188.88
CUST_000405,Netherlands,Consumer,2024-01-02,Monthly,462.11
CUST_000406,Italy,Consumer,2025-11-02,Two-Year,55.6
CUST_000407,Spain,SMB,2024-12-12,Annual,365.8
CUST_000408,Italy,SMB,2021-10-07,Annual,465.91
CUST_000409,Spain,SMB,2021-12-25,Annual,285.52
CUST_000410,Netherlands,Consumer,2022-10-11,Monthly,441.77
CUST_000411,France,Consumer,2022-05-10,Monthly,352.08
CUST_000412,France,Consumer,2024-09-05,Monthly,26.97
CUST_000413,Spain,Consumer,2025-12-17,Monthly,342.2
CUST_000414,Italy,Consumer,2023-11-11,Two-Year,335.15
CUST_000415,Spain,Consumer,2025-06-14,Monthly,20.01
CUST_000416,Spain,Enterprise,2023-03-03,Annual,216.4
CUST_000417,Spain,Consumer,2024-06-10,Annual,38.62
CUST_000418,Italy,Consumer,2024-07-05,Two-Year,160.64
CUST_000419,Spain,Consumer,2022-06-21,Monthly,493.56
CUST_000420,Netherlands,SMB,2024-09-01,Two-Year,471.34
CUST_000421,France,Consumer,2023-09-05,Annual,348.73
CUST_000422,Spain,Consumer,2023-11-21,Annual,196.09
CUST_000423,Spain,Consumer,2022-04-06,Annual,210.3
CUST_000424,Spain,Consumer,2022-08-06,Monthly,38.34
CUST_000425,France,SMB,2025-04-16,Annual,182.38
CUST_000426,Italy,Consumer,2024-02-04,Annual,396.5
CUST_000427,Spain,Consumer,2021-08-27,Annual,269.29
CUST_000428,Italy,SMB,2023-09-23,Two-Year,248.81
CUST_000429,Spain,Consumer,2024-02-04,Annual,63.73
CUST_000430,Italy,SMB,2024-12-27,Monthly,461.12
CUST_000431,Netherlands,Consumer,2025-04-07,Monthly,155.88
CUST_000432,Italy,SMB,2024-04-08,Two-Year,203.79
CUST_000433,France,Consumer,2021-01-23,Annual,178.74
CUST_000434,Italy,Consumer,2023-06-27,Two-Year,177.79
CUST_000435,Spain,Consumer,2022-01-13,Monthly,307.68
CUST_000436,Spain,Enterprise,2021-02-04,Annual,320.98
CUST_000437,Spain,Consumer,2025-08-14,Two-Year,307.31
CUST_000438,Germany,Enterprise,2021-11-01,Annual,52.88
CUST_000439,France,Enterprise,2022-03-25,Monthly,485.38
CUST_000440,France,Consumer,2022-09-07,Monthly,362.71
CUST_000441,Italy,Consumer,2023-05-01,Two-Year,443.71
CUST_000442,Spain,Consumer,2024-01-04,Annual,96.64
CUST_000443,France,Enterprise,2022-07-21,Monthly,467.41
